id,country_id,place_id,name,city_url,url
5666,1,city_5666,Bhaderwah,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=5666,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=5666
827,1,city_827,Raebareily,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=827,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=827
143,1,city_143,Ranthambore,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=143,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=143
202,1,city_202,Baramati,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=202,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=202
109,1,city_109,Karwar,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=109,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=109
511,1,city_511,Udhampur,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=511,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=511
750,1,city_750,Alipurduar,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=750,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=750
321,1,city_321,Kumbhalgarh,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=321,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=321
711,1,city_711,Jaigaon,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=711,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=711
197,1,city_197,Ranjangaon,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=197,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=197
445,1,city_445,Latagudi,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=445,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=445
399,1,city_399,Dibrugarh,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=399,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=399
251,1,city_251,Rourkela,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=251,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=251
83,1,city_83,Rajahmundry,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=83,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=83
332529,1,city_332529,Pilani,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=332529,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=332529
1060,1,city_1060,Wardha,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=1060,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=1060
448,1,city_448,Korba,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=448,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=448
803,1,city_803,Rajgir,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=803,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=803
1218,1,city_1218,Jhajjar,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=1218,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=1218
598,1,city_598,Tajpur,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=598,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=598
17219,1,city_17219,Chandausi,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=17219,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=17219
5823,1,city_5823,Kasganj,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=5823,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=5823
124,1,city_124,Mahabaleshwar,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=124,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=124
424,1,city_424,Gulbarga,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=424,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=424
364,1,city_364,Moradabad,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=364,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=364
349,1,city_349,Durgapur,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=349,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=349
5839,1,city_5839,Charkhi-Dadri,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=5839,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=5839
161,1,city_161,Roorkee,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=161,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=161
328,1,city_328,Kurukshetra,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=328,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=328
1952,1,city_1952,Tenali,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=1952,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=1952
4629,1,city_4629,Osmanabad,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=4629,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=4629
421,1,city_421,Karimnagar,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=421,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=421
538,1,city_538,Anantapur,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=538,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=538
1773,1,city_1773,Bhiwani,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=1773,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=1773
331051,1,city_331051,Ganderbal,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=331051,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=331051
331026,1,city_331026,Poonch,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=331026,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=331026
171,1,city_171,Jorhat,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=171,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=171
6527,1,city_6527,Ernakulam,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=6527,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=6527
302624,1,city_302624,Kaimukhiya,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=302624,https://www.oyorooms.com/search/?filters%5Bcity_id%5D=302624
